Pipe,Diameter
1714,150
1715,200
1716,75
1717,150
1719,200
1720,200
1723,200
1729,200
1730,200
1734,50
1735,200
1759,200
1766,200
1767,300
1768,300
1769,300
1770,300
1771,300
1772,300
1773,300
1774,300
1775,300
VZ1.AAT.BRZ.070,300
1777,300
1782,200
1784,200
1786,150
1787,300
1788,75
1789,75
1792,75
1794,75
1795,150
1797,160
1805,300
1806,200
1807,50
1809,200
1810,200
1811,200
1812,200
1814,75
1815,75
1816,75
1818,60
1819,60
1821,200
1887,75
1888,75
1895,300
1958,300
1959,300
1960,300
1961,300
1962,300
1963,300
1985,300
1987,300
1990,150
1991,75
1994,75
1999,300
2000,300
2001,300
2002,300
2003,300
2004,300
2005,300
2006,300
2007,300
2008,300
2009,300
2010,300
2011,300
2012,300
2013,300
2014,300
2015,300
2046,300
2047,300
2048,300
2049,300
2050,300
2099,300
2100,300
2101,300
2112,75
2113,75
2137,300
2138,300
2139,300
2147,300
2148,300
2149,300
2286,300
2310,75
2311,300
2312,300
2359,300
2361,300
2362,300
2382,300
2492,150
2493,150
2499,150
2507,150
2543,75
2544,300
2545,75
2549,75
2552,75
2553,75
2556,75
2557,75
2558,75
2580,75
2794,75
2860,75
3002,200
3003,200
3004,200
3005,200
3006,200
3007,200
3008,200
3009,200
3010,200
3011,200
3012,200
3013,200
3014,200
3015,200
3016,200
3017,200
3018,200
3019,200
3020,200
3021,200
3022,200
3023,200
3024,200
3025,200
3026,200
3027,200
3028,200
3029,200
3030,200
3031,200
3032,200
3033,200
3034,200
3035,200
3036,200
3037,200
3038,200
3039,200
3040,200
3041,200
3042,50
3043,200
3044,200
3045,200
3047,200
3048,200
3049,200
3050,200
3051,200
3052,200
3053,200
3055,200
3058,200
3059,200
3060,200
3061,200
3067,200
3068,200
3069,200
3070,200
3071,60
3072,60
3073,60
3075,200
3076,200
3077,200
3078,200
3079,60
3080,60
3081,60
3082,60
3083,60
3084,60
3085,60
3086,60
3087,60
3090,200
3091,200
3092,200
3093,200
3094,200
3095,200
3096,200
3097,150
3098,200
3099,60
3100,60
3101,200
3102,200
3106,200
3107,150
3108,150
3109,150
3110,200
3111,200
3112,200
3113,200
3114,200
3115,200
3116,200
3117,200
3118,200
3119,200
3120,200
3121,200
3122,200
3123,200
3124,200
3125,200
3126,200
3127,200
3128,200
3129,60
3130,150
3131,150
3132,150
3133,150
3134,150
3135,150
3136,150
3137,60
3138,150
3139,200
3140,200
3144,200
3145,200
3146,60
3147,50
7,75
12,75
1343,75
1454,75
135,85
3150,300
323,60
1840,60
1863,60
3162,60
3163,85
3164,60
3165,60
3166,60
3167,85
3168,85
3169,110
3170,110
3171,85
8,60
9,60
1338,60
1339,110
1344,110
1364,60
1368,110
1376,110
1377,75
215,60
